# Generated at 2024-03-18 05:56:28 (01:00) by AQUARIUS Time-Series 22.2.188.0,
# UTC+02,
# Period Selected: 2018-01-01 00:00 - 2023-12-31 23:59,
#,
# Comment: ,
# Description: ,
# ReportTitle: Q_C01_Daily_PRELIMINARY,
# d3ecd688-fd64-4155-98a5-6aa7e33c7a6a Discharge.Discharge Production@110101_C1: Mean (1 Day),
#,
# CSV data starts at line 12,
#,
TimeStamp,Q
2018-01-01 00:00,
2018-01-02 00:00,
2018-01-03 00:00,
2018-01-04 00:00,
2018-01-05 00:00,
2018-01-06 00:00,
2018-01-07 00:00,
2018-01-08 00:00,
2018-01-09 00:00,
2018-01-10 00:00,
2018-01-11 00:00,
2018-01-12 00:00,
2018-01-13 00:00,
2018-01-14 00:00,
2018-01-15 00:00,
2018-01-16 00:00,
2018-01-17 00:00,
2018-01-18 00:00,
2018-01-19 00:00,
2018-01-20 00:00,
2018-01-21 00:00,
2018-01-22 00:00,
2018-01-23 00:00,
2018-01-24 00:00,
2018-01-25 00:00,
2018-01-26 00:00,
2018-01-27 00:00,
2018-01-28 00:00,
2018-01-29 00:00,
2018-01-30 00:00,
2018-01-31 00:00,
2018-02-01 00:00,
2018-02-02 00:00,
2018-02-03 00:00,
2018-02-04 00:00,
2018-02-05 00:00,
2018-02-06 00:00,
2018-02-07 00:00,
2018-02-08 00:00,
2018-02-09 00:00,
2018-02-10 00:00,
2018-02-11 00:00,
2018-02-12 00:00,
2018-02-13 00:00,
2018-02-14 00:00,
2018-02-15 00:00,
2018-02-16 00:00,
2018-02-17 00:00,
2018-02-18 00:00,
2018-02-19 00:00,
2018-02-20 00:00,
2018-02-21 00:00,
2018-02-22 00:00,
2018-02-23 00:00,
2018-02-24 00:00,
2018-02-25 00:00,
2018-02-26 00:00,
2018-02-27 00:00,
2018-02-28 00:00,
2018-03-01 00:00,
2018-03-02 00:00,
2018-03-03 00:00,
2018-03-04 00:00,
2018-03-05 00:00,
2018-03-06 00:00,
2018-03-07 00:00,
2018-03-08 00:00,
2018-03-09 00:00,
2018-03-10 00:00,
2018-03-11 00:00,
2018-03-12 00:00,
2018-03-13 00:00,
2018-03-14 00:00,
2018-03-15 00:00,
2018-03-16 00:00,
2018-03-17 00:00,
2018-03-18 00:00,
2018-03-19 00:00,
2018-03-20 00:00,
2018-03-21 00:00,
2018-03-22 00:00,
2018-03-23 00:00,
2018-03-24 00:00,
2018-03-25 00:00,
2018-03-26 00:00,
2018-03-27 00:00,
2018-03-28 00:00,
2018-03-29 00:00,
2018-03-30 00:00,
2018-03-31 00:00,
2018-04-01 00:00,
2018-04-02 00:00,
2018-04-03 00:00,
2018-04-04 00:00,
2018-04-05 00:00,
2018-04-06 00:00,
2018-04-07 00:00,
2018-04-08 00:00,
2018-04-09 00:00,
2018-04-10 00:00,
2018-04-11 00:00,
2018-04-12 00:00,
2018-04-13 00:00,
2018-04-14 00:00,
2018-04-15 00:00,
2018-04-16 00:00,
2018-04-17 00:00,
2018-04-18 00:00,
2018-04-19 00:00,
2018-04-20 00:00,
2018-04-21 00:00,
2018-04-22 00:00,26.21352235
2018-04-23 00:00,23.82708579
2018-04-24 00:00,22.59738376
2018-04-25 00:00,23.67578497
2018-04-26 00:00,27.52425684
2018-04-27 00:00,28.64048746
2018-04-28 00:00,32.96579819
2018-04-29 00:00,37.45721465
2018-04-30 00:00,36.76135605
2018-05-01 00:00,32.79526878
2018-05-02 00:00,45.69430916
2018-05-03 00:00,37.50388311
2018-05-04 00:00,56.48690092
2018-05-05 00:00,52.50436179
2018-05-06 00:00,64.96073229
2018-05-07 00:00,51.38818911
2018-05-08 00:00,37.77465114
2018-05-09 00:00,35.57968719
2018-05-10 00:00,30.56437054
2018-05-11 00:00,22.4624263
2018-05-12 00:00,18.29062028
2018-05-13 00:00,14.13709937
2018-05-14 00:00,10.97007733
2018-05-15 00:00,51.12944871
2018-05-16 00:00,32.55707278
2018-05-17 00:00,15.08615444
2018-05-18 00:00,10.78060626
2018-05-19 00:00,8.485566394
2018-05-20 00:00,7.239890301
2018-05-21 00:00,6.196499322
2018-05-22 00:00,5.16623222
2018-05-23 00:00,4.390668524
2018-05-24 00:00,3.8480495
2018-05-25 00:00,3.474670783
2018-05-26 00:00,3.058004381
2018-05-27 00:00,2.757006219
2018-05-28 00:00,2.503728107
2018-05-29 00:00,2.119404641
2018-05-30 00:00,1.894811766
2018-05-31 00:00,1.723699641
2018-06-01 00:00,1.7280576
2018-06-02 00:00,1.573621712
2018-06-03 00:00,1.383410741
2018-06-04 00:00,1.327095849
2018-06-05 00:00,1.279945217
2018-06-06 00:00,1.253613385
