TITLE: Chemical variables - Stream from Risbäcken, north-eastern Sweden.
SITES STATION: Svartberget Research Station
TIME PERIOD: YYYY-MM-DD - YYYY-MM-DD
TIME RESOLUTION: IRREGULAR
TIME ZONE: UTC +1
SAMPLING POINT: Risbäcken, Catchment 1
LATITUDE: 64.248505
LONGITUDE: 19.808051
Altitude: 220.8 m a.s.l.

FILE RETRIEVED FROM: https://data.fieldsites.se
DATA POLICY: SITES data is licensed under a Creative Commons Attribution 4.0 international license (http://creativecommons.org/licenses/by/4.0/).

PARAMETERS & UNITS: pH (dimensionless), SCOND (µS cm-1 @ 25°C), DOC (mg C L-1), TOT-N (mg N L-1), PO4-P (µg P L-1), NH4-N (µg N L-1), NO2/NO3-N (µg N L-1), SO4-S (µg S L-1), F (µg L-1), Br (µg L-1), Cl (µg L-1), Al (µg L-1), B (µg L-1), Ca (µg L-1), Fe (µg L-1), K (µg L-1), Mg (µg L-1), Mn (µg L-1), Na (µg L-1), P (µg L-1), S (µg L-1), Si (µg L-1), Zn (µg L-1), ABS (dimensionless), 18O (%vsVSMOW), 2H (%vsVSMOW)

COMMENTS: Stream order: 1, Catchment area: 0.066 km2

METHODS AND DETECTION LIMITS:
pH and SCOND Method: pH and conductivity with 2 point calibration: 4.01 and 7.0 pH. Sample automatically heated to 25 °C. Instrument: Mettler toledo Dgi117-water, glass electrode with sensor chip. pH measurement on water sample that was filled completely in the field and capped until analysis.
DOC (mg C L-1) and TOT-N (mg N L-1) Method: SS-EN 1484; Instrument: Shimadzu TOC-VCPH, equipped with a TNM-1 unit and an ASI-V autosampler; Detection limit: 0.5 mg C L-1; Measurements on filtered water (pore size: 0.45 µm). 
PO4-P (µg P L-1) Method: Bran & Leubbe Method G-287-03; Instrument: Autoanalyzer 3 HR from Seal Analytical (2011); Detection limit: 0.4 µg P L-1; Measurements on filtered water (pore size: 0.45 µm). 
NH4-N (µg N L-1) Method: Bran & Leubbe Method G-171-96; Instrument: Autoanalyzer 3 HR from Seal Analytical (2011); Detection limit: 0.3 µg N L-1; Measurements on filtered water (pore size: 0.45 µm). 
Sum of NO3-N and NO2-N (µg N L-1) Method: SS-EN ISO 13 395 for Bran & Leubbe Method G-284-08 Rev. 4; Instrument: Autoanalyzer 3 HR from Seal Analytical (2011); Detection limit: 0.4 µg N L-1; Measurements on filtered water (pore size: 0.45 µm).
SO4-S (µg S L-1); F (µg L-1); Cl (µg L-1): Method: SS-EN ISO 10304-1:2007; Instrument: Modular IC (Methrom), equipped with an auto sampler, guard column (Dionex IonPacTM AG22) followed by an anion-exchange column (Dionex IonPacTM AS22), CO2-suppressor and a conductivity detector; Detection limits: SO4-S 100 µg L-1; F 200 µg L-1 ; Cl 200 µg L-1; Measurements on filtered water (pore size: 0.45 µm).
Cations: Method: 2011-2017: SS-EN ISO 11885:2009; Instrument: ICP-AES Inductively coupled plasma atomic emission spectroscopy (Spectro Ciros); Detection limits: Al = 1 µg L-1; K = 60 µg L-1; S = 30 µg L-1; B = 8 µg L-1; Mg = 1 µg L-1; Zn = 1 µg L-1; Ca = 20 µg L-1; Mn = 1 µg L-1; Si = 20 µg L-1; Cu = 3 µg L-1; Na = 10 µg L-1; Fe = 20 µg L-1; P = 20 µg L-1; Measurements on filtered water (pore size: 0.45 µm).
Cations: Method: 2018-: ISO 17294-2:2016, Instrument: ELEMENT 2, ThermoScientific; Detection limits: Al = 0.2 µg L-1; K = 5 µg L-1; S = 5 µg L-1; B = 0.08 µg L-1; Mg = 0.1 µg L-1; Zn = 0.04 µg L-1; Ca = 2.74 µg L-1; Mn = 0.01 µg L-1; Si = 1.8 µg L-1; Cu = 0.01 µg L-1; Na = 10 µg L-1; Fe = 0.11 µg L-1; P = 0.2 µg L-1; Measurements on filtered water (pore size: 0.45 µm).
Absorbance: Method: 2011-2016: SS-EN ISO 7887, Instrument: Varian Cary 50 UV-Vis spectrophotometer equipped with a Varian SPS3 sample preparation system and a 5 mm flow cuvette; Measured: Spectral scan (240-800 nm); Measurements on filtered water (pore size: 0.45 µm). 
Absorbance: Method: 2017-2022: Instrument: HORIBA Aqualog with a 10 mm cuvette; Backup instrument (used mid 2017 to 2017-12-09): Varian Cary 50 UV-Vis spectrophotometer equipped with a Varian SPS3 sample preparation system and a 5 mm flow cuvette (recalculated to 10 mm); Measured: Spectral scan (240-800 nm); Measurements on filtered water (pore size: 0.45 µm). 
Absorbance: Method: 2023-: Instrument: Shimadzu UV-1900i with a 10 mm through flow cuvette; Measured: Spectral scan (220-900 nm); Measurements on filtered water (pore size: 0.45 µm). 
18O & 2H (%vsVSMOW): Method: Samples analyzed four times, then averaged after corrections according to van Geldern and Barth (2012, doi:10.4319/lom.2012.10.1024); Instrument: Picarro cavity ringdown laser spectrometer (L2130-i) with a vaporizer module (A0211); Signatures calibrated using 4 inhouse laboratory standards which in turn have been calibrated against VSMOW, GISP and SLAP. Accepted st.dev of control samples were 0.15‰ for 18O and 0.3‰ for 2H.

PARAMETER AND COLUMN INFO:
TIMESTAMP – Time in [YYYY-MM-DD (hh:mm)] UTC+1.
pH - pH (dimensionless).
SCOND - Specific Conductivity (µS cm-1 @ 25°C).
DOC - Dissolved organic Carbon (C part of DOC, mg C L-1). 
TOT-N - Total Nitrogen (mg N L-1). 
PO4-P - Phosphate-P (P part of PO4, µg P L-1). 
NH4-N - Ammonium-N (N part of NH4, µg N L-1). 
NO2/NO3-N - Nitrite-N/Nitrate-N (N part of NO2 and NO3, µg N L-1). 
SO4-S - Sulphate-S (S part of SO4, µg S L-1). 
F - Flourine (µg L-1). 
Br - Bromine (µg L-1). 
Cl - Chlorine (µg L-1). 
Al - Aluminium (µg L-1). 
B - Boron (µg L-1). 
Ca - Calcium (µg L-1). 
Fe - Iron (µg L-1). 
K - Potassium (µg L-1). 
Mg - Magnesium (µg L-1). 
Mn - Mangan (µg L-1). 
Na - Sodium (µg L-1). 
P - Phosphorus (µg L-1). 
S - Sulphur (µg L-1). 
Si - Silicon (µg L-1). 
Zn - Zinc (µg L-1). 
ABS254nm - Absorbance at 254nm wavelength (dimensionless). 
ABS365nm - Absorbance at 365nm wavelength (dimensionless). 
ABS420nm - Absorbance at 420nm wavelength (dimensionless). 
ABS436nm - Absorbance at 436nm wavelength (dimensionless). 
ABS440nm - Absorbance at 440nm wavelength (dimensionless). 
18O - Proportion Oxygen-18 in Water (%vsVSMOW).
2H - Proportion Deuterium in Water (%vsVSMOW).
####
TIMESTAMP,pH,SCOND,DOC,TOT-N,PO4-P,NH4-N,NO2/NO3-N,SO4-S,F,Br,Cl,Al,B,Ca,Fe,K,Mg,Mn,Na,P,S,Si,Zn,ABS254nm,ABS365nm,ABS420nm,ABS436nm,ABS440nm,18O,2H
2011-01-18 11:00,5.56,NaN,12.08,0.4417,3.66,107.95,54.61,2413,LOD,LOD,995,374,NaN,2612,1599,524,954,167,2419,49,2602,NaN,5,NaN,NaN,NaN,NaN,NaN,-13.20302,-95.025799
2011-02-21 13:46,5.97,NaN,10.98,0.4439,3.18,57.44,80.27,2393,LOD,LOD,994,285,NaN,2541,650,488,924,32,2278,48,2566,NaN,14,NaN,NaN,NaN,NaN,NaN,-13.257387,-95.065664
2011-03-21 12:05,6.05,NaN,11.11,0.4212,2.78,66.76,111.61,2384,LOD,LOD,966,271,NaN,2649,515,460,952,36,2251,33,2561,NaN,5,NaN,NaN,NaN,NaN,NaN,-13.213263,-94.953446
2011-04-04 15:23,5.82,NaN,10.96,0.6431,4.17,63.99,97.05,2365,LOD,LOD,973,248,NaN,2450,442,460,927,31,2215,32,2364,NaN,6,NaN,NaN,NaN,NaN,NaN,-13.285374,-95.297247
2011-04-11 14:00,5.47,24.2,15.29,0.4076,5.26,20.14,44.39,1936,LOD,LOD,991,411,NaN,2521,984,666,949,35,2113,23.0772,2181,NaN,7,NaN,NaN,NaN,NaN,NaN,-13.495132,-96.960473
2011-04-14 14:06,5.2,24.8,23.44,0.526,4.2,24.09,28.44,1799,LOD,LOD,965,551,NaN,2444,1384,721,957,57,1909,30.7046,2057,NaN,12,NaN,NaN,NaN,NaN,NaN,-13.608555,-97.930654
2011-04-18 11:11,4.53,25,25.72,0.5704,2.87,22.33,65.22,1455,LOD,LOD,776,605,NaN,2202,1335,806,763,84,1590,31.1156,1785,NaN,12,NaN,NaN,NaN,NaN,NaN,-13.79883,-99.72336
2011-04-21 11:25,4.94,24.24,23.15,0.583,2.39,19.2,109.76,1657,LOD,LOD,750,590,NaN,2166,1256,566,793,75,1681,32.3658,1933,NaN,10,NaN,NaN,NaN,NaN,NaN,-13.690556,-98.901593
2011-04-25 12:25,4.77,15.53,21.47,0.5826,3.16,22.14,166.1,1395,LOD,LOD,632,615,NaN,1942,1173,420,708,73,1558,28.1661,1692,NaN,15,NaN,NaN,NaN,NaN,NaN,-13.691862,-98.897155
2011-05-02 13:18,5.19,21.86,19.13,0.5209,3.42,24.72,107.27,1663,LOD,LOD,716,495,NaN,2042,1082,477,806,43,1681,NaN,1924,NaN,10,NaN,NaN,NaN,NaN,NaN,-13.643433,-98.314525
2011-05-09 14:27,5.3,20.93,17.92,0.4592,1.33,28.56,76.13,1593,LOD,LOD,691,448,NaN,1902,1030,496,787,32,1699,NaN,1809,NaN,6,NaN,NaN,NaN,NaN,NaN,-13.449227,-97.130266
2011-05-23 15:45,5.4,NaN,19.62,0.4964,1.41,19.98,77.52,1742,LOD,LOD,750,475,NaN,2079,972,435,857,25,1746,NaN,2009,NaN,6,NaN,NaN,NaN,NaN,NaN,-13.274778,-95.370891
2011-06-07 13:50,5.42,23.43,17.42,0.3919,3.38,17.96,75.29,1980,LOD,LOD,784,443,NaN,2281,663,432,920,23,1941,NaN,2315,NaN,6,NaN,NaN,NaN,NaN,NaN,-13.356741,-95.947479
2011-06-21 13:27,5.6,24.2,15.97,0.4044,0.76,16.91,34.59,2019,LOD,LOD,854,437,NaN,2297,651,456,927,19,1991,NaN,2367,NaN,6,NaN,NaN,NaN,NaN,NaN,-13.53253,-97.119323
2011-07-04 11:23,5.61,25.03,17.37,0.4436,2.7,17.03,40.23,2062,LOD,LOD,883,469,NaN,2339,817,426,949,28,2023,NaN,2239,NaN,5,NaN,NaN,NaN,NaN,NaN,-13.310697,-95.967162
2011-07-18 15:30,5.84,26.38,14.49,0.3964,3.93,23.52,41.82,2262,LOD,LOD,998,399,NaN,2642,885,496,947,40,2209,NaN,2415,NaN,9,NaN,NaN,NaN,NaN,NaN,-13.301791,-95.793792
2011-08-02 12:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011-08-15 10:50,5.99,29.32,17.4733,0.5531,2.42,65.85,44.46,2180,LOD,LOD,975,408,NaN,2984,1599,574,1020,67,2240,NaN,2414,NaN,17,NaN,NaN,NaN,NaN,NaN,-13.111951,-94.446218
2011-08-31 13:15,5.79,27.53,22.44,0.4713,5.39,25.35,44.86,1965,LOD,LOD,1009,562,NaN,2803,1193,510,1055,30,2198,NaN,2207,NaN,7,NaN,NaN,NaN,NaN,NaN,-13.083829,-93.685213
2011-09-13 12:00,4.98,30.1,33.51,0.6811,4.59,21.01,30.3,1883,LOD,LOD,1184,679,NaN,2713,1699,372,1109,33,2112,NaN,2127,NaN,7,NaN,NaN,NaN,NaN,NaN,-12.377622,-87.842464
2011-09-28 11:57,4.93,27.27,31.95,0.5873,5.01,32.62,54.28,1695,LOD,LOD,1134,725,NaN,2697,1676,365,1007,37,1923,NaN,2002,NaN,11,NaN,NaN,NaN,NaN,NaN,-12.233447,-87.474466
2011-10-10 09:29,5.14,25.09,27.1,0.5455,4.68,33.6,43.82,643,LOD,LOD,461,747,NaN,2596,1703,347,1016,33,2010,NaN,1977,NaN,9,NaN,NaN,NaN,NaN,NaN,-12.553785,-89.691209
2011-10-25 13:12,5.17,24.1,22.09,0.5135,5.5,41.85,51.71,1717,LOD,LOD,1179,651,NaN,2402,1485,319,963,33,1960,NaN,2005,NaN,6,NaN,NaN,NaN,NaN,NaN,-12.53687,-89.974675
2011-11-08 11:25,5.25,24.52,23.08,0.5638,4.43,36.97,42.12,1579,LOD,LOD,1141,631,NaN,2288,1566,363,926,30,1922,NaN,1837,NaN,5,NaN,NaN,NaN,NaN,NaN,-12.637401,-90.477543
2011-11-28 11:45,5.38,30.88,20.79,0.4391,4.2,19.26,39.48,1476,LOD,LOD,1080,657,NaN,2657,1659,404,1045,33,2078,NaN,2192,NaN,6,NaN,NaN,NaN,NaN,NaN,-11.931867,-88.576072
2011-12-20 13:30,5.22,30.66,20.93,0.4455,7.31,43.47,57.03,1654,LOD,LOD,1120,635,NaN,2352,1485,370,935,30,1859,NaN,2040,NaN,7,NaN,NaN,NaN,NaN,NaN,-12.625859,-90.41447
2012-01-19 13:00,5.67,29.57,16.65,0.4007,1.83,14.49,43.72,1745.9097,LOD,LOD,1007.5367,594,NaN,2385,1419,487,933,25,2091,53,2073,NaN,8,NaN,NaN,NaN,NaN,NaN,-12.811075,-92.013448
2012-02-14 12:34,5.82,31.4,14.44,0.4005,5.7,18.17,42.63,1868.1017,LOD,LOD,987.3896,492,NaN,2354,1099,498,936,33,2100,45,2116,NaN,3,NaN,NaN,NaN,NaN,NaN,-12.52727,-91.416007
