TITLE: Water balance - stream discharge from Degerö catchment north-eastern Sweden
SITES STATION: Svartberget Research Station
TIME PERIOD: 2012-04-25 - 2023-11-23
TIME RESOLUTION: Daily
TIME ZONE: UTC +1
SAMPLING POINT: Degerö, C18
LATITUDE: 64.188711
LONGITUDE: 19.543273
ALTITUDE: 265.8 m a.s.l

FILE RETRIEVED FROM: https://data.fieldsites.se
DATA POLICY: SITES data is licensed under a Creative Commons Attribution 4.0 international license (http://creativecommons.org/licenses/by/4.0/).

COMMENTS: Equation: Q = A * SL^B [m3 s-1, m], for stream level data see CSV: SITES_WB-SL_SVB-DEG-C18_20090417-20231123_L2_daily.csv - https://meta.fieldsites.se/objects/zt8K4r9_Mbh8wHfcp83lvpmk
Document - Description of flume see PDF: SITES_WB-Q_SVB_DEG-C18_discharge-description_from_2012.pdf - https://meta.fieldsites.se/objects/ntI69_FEOojpTH6jml-X5tmF, Catchment area 2.729 km2

PARAMETERS AND UNITS: Q (m3 s-1)

PARAMETER AND COLUMN INFO:
TIMESTAMP - Time in [YYYY-MM-DD] UTC+1
Q - discharge (m3 s-1) daily average of 5 min sampling intervals calculated from stream level data and flume characteristics.
####
TIMESTAMP,Q
2012-04-25,0.050207818
2012-04-26,0.05787071
2012-04-27,0.087568144
2012-04-28,0.158664188
2012-04-29,0.245656503
2012-04-30,0.300515729
2012-05-01,0.429947054
2012-05-02,0.599439382
2012-05-03,0.452859054
2012-05-04,0.374283721
2012-05-05,0.216284908
2012-05-06,0.239154566
2012-05-07,0.258874322
2012-05-08,0.231876734
2012-05-09,0.262201343
2012-05-10,0.312971788
2012-05-11,0.414795533
2012-05-12,0.444094232
2012-05-13,0.369713258
2012-05-14,0.336379346
2012-05-15,0.3316492
2012-05-16,0.284913264
2012-05-17,0.21036565
2012-05-18,0.182049217
2012-05-19,0.152982748
2012-05-20,0.134667593
2012-05-21,0.118699363
2012-05-22,0.09815684
2012-05-23,0.082438749
2012-05-24,0.070231852
2012-05-25,0.06006013
2012-05-26,0.050526665
2012-05-27,0.042280427
2012-05-28,NaN
2012-05-29,0.025892771
2012-05-30,0.023074821
2012-05-31,0.020190244
2012-06-01,0.01990326
2012-06-02,0.021074397
2012-06-03,0.027988045
2012-06-04,0.038826375
2012-06-05,0.041350437
2012-06-06,0.042161008
2012-06-07,0.048466886
2012-06-08,0.035835634
2012-06-09,0.029678261
2012-06-10,0.037028253
2012-06-11,0.057417575
2012-06-12,0.060071207
2012-06-13,0.046138886
2012-06-14,0.033928594
2012-06-15,0.029513986
2012-06-16,0.026548338
2012-06-17,0.024101133
2012-06-18,0.021778614
2012-06-19,0.019764976
2012-06-20,0.019469388
2012-06-21,0.01630784
2012-06-22,0.013942517
2012-06-23,0.012093876
2012-06-24,0.01056416
2012-06-25,0.009552506
2012-06-26,0.009087199
2012-06-27,0.010192737
2012-06-28,0.008921354
2012-06-29,0.008392582
2012-06-30,0.009603853
2012-07-01,0.010098851
2012-07-02,0.010802815
2012-07-03,0.010025468
2012-07-04,0.009165032
2012-07-05,0.00828387
2012-07-06,0.007422591
2012-07-07,0.006838326
2012-07-08,0.007283473
2012-07-09,0.007322907
2012-07-10,0.006877325
2012-07-11,0.007843255
2012-07-12,0.00863109
2012-07-13,0.010554202
2012-07-14,0.013477318
2012-07-15,0.01648036
2012-07-16,0.017639607
2012-07-17,0.016359666
2012-07-18,0.01376135
2012-07-19,0.013380753
2012-07-20,0.015825237
2012-07-21,0.014093494
2012-07-22,0.012849196
2012-07-23,0.01232569
2012-07-24,0.012010253
2012-07-25,0.011196736
2012-07-26,0.010469541
2012-07-27,0.009663232
2012-07-28,0.00871706
2012-07-29,0.008080587
2012-07-30,0.007699494
2012-07-31,0.007370553
2012-08-01,0.007585257
2012-08-02,0.008386119
2012-08-03,0.008191282
2012-08-04,0.008863743
2012-08-05,0.009103157
2012-08-06,0.008693636
2012-08-07,0.008530703
2012-08-08,0.008445603
2012-08-09,0.01074099
2012-08-10,0.011747277
2012-08-11,0.010037036
2012-08-12,0.009732137
2012-08-13,0.009153482
2012-08-14,0.008447104
2012-08-15,0.00775762
2012-08-16,0.007064102
2012-08-17,0.00636663
2012-08-18,0.005925779
2012-08-19,0.005521365
2012-08-20,0.005113208
2012-08-21,0.004997367
2012-08-22,0.005130842
2012-08-23,0.004964365
2012-08-24,0.004894523
2012-08-25,0.004774908
2012-08-26,0.004728799
2012-08-27,0.047711459
2012-08-28,0.127951061
2012-08-29,0.136257444
2012-08-30,0.111959551
2012-08-31,0.116433224
2012-09-01,0.141209256
2012-09-02,0.121340899
2012-09-03,0.100988792
2012-09-04,0.084159795
2012-09-05,0.082855872
2012-09-06,0.066975555
2012-09-07,0.054079507
