TITLE: Water balance - stream discharge from Västrabäcken catchment, north-eastern Sweden
SITES STATION: Svartberget Research Station
TIME PERIOD: 2005-04-06 - 2023-11-17
TIME RESOLUTION: Daily
TIME ZONE: UTC +1
SAMPLING POINT: Västrabäcken, C2
LATITUDE: 64.251425
LONGITUDE: 19.777804
ALTITUDE: 237.6 m a.s.l.

FILE RETRIEVED FROM: https://data.fieldsites.se
DATA POLICY: SITES data is licensed under a Creative Commons Attribution 4.0 international license (http://creativecommons.org/licenses/by/4.0/).

COMMENTS: Equation: Q = A * SL^B [m3 s-1, m], for stream level data see CSV: https://meta.fieldsites.se/objects/QjxB15TFq8Eeq-gPCzJpRYOh, Document - Description V-notch weir station see PDF: SITES_WB-Q_SVB_VAB-C2_discharge-description_from_2005.pdf - https://meta.fieldsites.se/objects/E83a9LPleWK9C2VQDxjl5o2N, Catchment area 0.119 km2
Before 2012" gaps in data are caused by freezing over winter periods and removed sensor, Gaps are filled with NaNs. Heated dam house allowed continuous measurements from 2012 onwards."
Stream can fall dry during summer periods," therefore data is filled with NaNs as precise measurements cannot be conducted, see e.g. August 2014 and July/August 2018."


PARAMETERS AND UNITS: Q (m3 s-1)

PARAMETER AND COLUMN INFO:
TIMESTAMP - Time in [YYYY-MM-DD]
Q - discharge (m3 s-1), Daily average of 5 min sampling intervals, calculated from stream level data and V-notch weir dimensions
####
TIMESTAMP,Q
2005-04-06,0.000955719
2005-04-07,0.000795332
2005-04-08,0.000805203
2005-04-09,0.001170451
2005-04-10,0.001103799
2005-04-11,0.000945768
2005-04-12,0.000872866
2005-04-13,0.000873697
2005-04-14,0.001189794
2005-04-15,0.001588677
2005-04-16,0.001937325
2005-04-17,0.002094938
2005-04-18,0.001675858
2005-04-19,0.001586463
2005-04-20,0.001281524
2005-04-21,0.001182241
2005-04-22,0.001155931
2005-04-23,0.001157779
2005-04-24,0.001388455
2005-04-25,0.001827745
2005-04-26,0.002650779
2005-04-27,0.003414203
2005-04-28,0.004013582
2005-04-29,0.004511626
2005-04-30,0.004604543
2005-05-01,0.004123534
2005-05-02,0.003486559
2005-05-03,0.004214876
2005-05-04,0.004582614
2005-05-05,0.006572874
2005-05-06,0.004672482
2005-05-07,0.004350917
2005-05-08,0.005104113
2005-05-09,0.004009687
2005-05-10,0.003759029
2005-05-11,0.003240029
2005-05-12,0.003301158
2005-05-13,0.002858397
2005-05-14,0.002199437
2005-05-15,0.001730074
2005-05-16,0.001590428
2005-05-17,0.002289339
2005-05-18,0.002518202
2005-05-19,0.002277626
2005-05-20,0.002281835
2005-05-21,0.001625818
2005-05-22,0.001316022
2005-05-23,0.001187540
2005-05-24,0.001170054
2005-05-25,0.001047687
2005-05-26,0.001059925
2005-05-27,0.001105477
2005-05-28,0.000800329
2005-05-29,0.000678590
2005-05-30,0.000636783
2005-05-31,0.000702342
2005-06-01,0.000492531
2005-06-02,0.000415213
2005-06-03,0.000387119
2005-06-04,0.000386184
2005-06-05,0.000430245
2005-06-06,0.000688541
2005-06-07,0.000560366
2005-06-08,0.000497114
2005-06-09,0.000317555
2005-06-10,0.000250912
2005-06-11,0.000240339
2005-06-12,0.000229335
2005-06-13,0.000479511
2005-06-14,0.000721780
2005-06-15,0.000582262
2005-06-16,0.000373593
2005-06-17,0.000228229
2005-06-18,0.000217072
2005-06-19,0.000350130
2005-06-20,0.000249217
2005-06-21,0.000193423
2005-06-22,0.000368455
2005-06-23,0.000320287
2005-06-24,0.000190874
2005-06-25,0.000123145
2005-06-26,0.000080449
2005-06-27,0.000084856
2005-06-28,0.000109105
2005-06-29,0.000270594
2005-06-30,0.000155292
2005-07-01,0.000093095
2005-07-02,0.000057009
2005-07-03,0.000040537
2005-07-04,0.000020443
2005-07-05,0.000002914
2005-07-06,NaN
2005-07-07,NaN
2005-07-08,NaN
2005-07-09,0.000003220
2005-07-10,0.000001400
2005-07-11,0.000006840
2005-07-12,0.000004930
2005-07-13,NaN
2005-07-14,NaN
2005-07-15,NaN
2005-07-16,NaN
2005-07-17,NaN
2005-07-18,NaN
2005-07-19,NaN
2005-07-20,NaN
2005-07-21,NaN
2005-07-22,NaN
2005-07-23,0.000045636
2005-07-24,0.000330746
2005-07-25,0.001541071
2005-07-26,0.000402680
2005-07-27,0.000620198
2005-07-28,0.000768847
2005-07-29,0.000398496
2005-07-30,0.000176084
2005-07-31,0.000073838
2005-08-01,0.000033896
2005-08-02,0.000056128
2005-08-03,0.000033375
2005-08-04,0.000003780
2005-08-05,NaN
2005-08-06,0.000005660
2005-08-07,0.000111482
2005-08-08,0.000787631
2005-08-09,0.001307981
2005-08-10,0.000517566
2005-08-11,0.000496185
2005-08-12,0.002054973
2005-08-13,0.001590149
2005-08-14,0.000794785
2005-08-15,0.000517940
2005-08-16,0.000356255
2005-08-17,0.000352399
2005-08-18,0.000233671
2005-08-19,0.000179223
2005-08-20,0.000154972
2005-08-21,0.000121154
2005-08-22,0.000086049
2005-08-23,0.000065902
2005-08-24,0.000061442
2005-08-25,0.000104855
2005-08-26,0.003436959
2005-08-27,0.005972615
2005-08-28,0.002261522
2005-08-29,0.001545614
2005-08-30,0.001475674
2005-08-31,0.000889580
2005-09-01,0.000689645
2005-09-02,0.000561322
2005-09-03,0.000485867
2005-09-04,0.000425086
2005-09-05,0.000380962
2005-09-06,0.000310959
2005-09-07,0.000297585
2005-09-08,0.000308385
2005-09-09,0.000267277
2005-09-10,0.000200069
2005-09-11,0.000161423
2005-09-12,0.000162057
2005-09-13,0.000138851
2005-09-14,0.000524313
2005-09-15,0.001602652
2005-09-16,0.000902147
2005-09-17,0.000658725
2005-09-18,0.000508488
2005-09-19,0.000397484
2005-09-20,0.000364676
2005-09-21,0.000621519
2005-09-22,0.000504948
2005-09-23,0.000431098
2005-09-24,0.000402691
2005-09-25,0.000374887
2005-09-26,0.000367118
2005-09-27,0.000387648
2005-09-28,0.000387648
2005-09-29,0.000387648
2005-09-30,0.000379325
2005-10-01,0.000365454
2005-10-02,0.000377106
2005-10-03,0.000387648
2005-10-04,0.000350477
2005-10-05,0.000326913
2005-10-06,0.000311164
2005-10-07,0.000309221
2005-10-08,0.000311164
2005-10-09,0.000335572
2005-10-10,0.000306199
2005-10-11,0.000280887
2005-10-12,0.000265579
2005-10-13,0.000265579
2005-10-14,0.000289544
2005-10-15,0.000262279
2005-10-16,0.000225411
2005-10-17,0.000224569
2005-10-18,0.000244351
2005-10-19,0.000252754
2005-10-20,0.000254652
2005-10-21,0.000276907
2005-10-22,0.000272537
2005-10-23,0.000254523
2005-10-24,0.000206543
2005-10-25,0.000163303
2005-10-26,0.000204955
2005-10-27,0.000207354
2005-10-28,0.000252325
2005-10-29,0.000896766
2005-10-30,0.001300898
2005-10-31,0.000897185
2005-11-01,0.000761794
2005-11-02,0.000741689
2005-11-03,0.000688198
2005-11-04,0.000828505
2005-11-05,0.000992296
2005-11-06,0.001494095
2005-11-07,0.001930404
2005-11-08,0.001744279
2005-11-09,0.001365932
2005-11-10,NaN
2005-11-11,NaN
2005-11-12,NaN
2005-11-13,NaN
2005-11-14,NaN
2005-11-15,NaN
2005-11-16,NaN
